s_lat,s_lon,s_country_id,s_country,e_lat,e_lon,e_country,e_vol,Pulp of wood or other fibrous cellulosic material; recovered (waste and scrap) paper or paperboard,47Percentage
46,3,6,France,50,15,Czechia,,2218449,2.62%
46,3,6,France,51,10,Germany,,195385912,10.47%
46,3,6,France,23,80,India,,5433360,6.54%
46,3,6,France,43,12,Italy,,131571279,12.40%
46,3,6,France,38,138,Japan,,3262937,5.97%
46,3,6,France,50,6,Luxembourg,,6202,0.00%
46,3,6,France,30,-8,Morocco,,170772,0.17%
46,3,6,France,52,5,Netherlands,,37841465,7.16%
46,3,6,France,52,19,Poland,,1031301,0.41%
46,3,6,France,40,-9,Portugal,,14587411,10.04%
46,3,6,France,36,128,Rep. of Korea,,14401051,25.67%
46,3,6,France,62,97,Russian Federation,,7600,0.01%
46,3,6,France,40,-4,Spain,,215053879,16.71%
46,3,6,France,63,17,Sweden,,2004602,3.01%
46,3,6,France,47,8,Switzerland,,11558240,2.16%
46,3,6,France,34,10,Tunisia,,1561052,1.74%
46,3,6,France,39,35,Turkey,,5021067,6.93%
46,3,6,France,54,-3,United Kingdom,,2637428,0.32%
46,3,6,France,46,-112,USA,,7457110,1.40%
51,10,7,Germany,48,14,Austria,,288355303,8.79%
51,10,7,Germany,51,5,Belgium,,44524921,2.54%
51,10,7,Germany,61,-98,Canada,,164980,0.09%
51,10,7,Germany,37,104,China,,155535046,22.37%
51,10,7,Germany,50,15,Czechia,,49123600,3.75%
51,10,7,Germany,56,10,Denmark,,10683567,1.29%
51,10,7,Germany,64,26,Finland,,8689083,4.70%
51,10,7,Germany,46,3,France,,129541112,3.66%
51,10,7,Germany,47,19,Hungary,,5225151,1.35%
51,10,7,Germany,23,80,India,,20581860,9.61%
51,10,7,Germany,43,12,Italy,,92273472,4.75%
51,10,7,Germany,38,138,Japan,,17162236,7.98%
51,10,7,Germany,50,6,Luxembourg,,780113,0.32%
51,10,7,Germany,24,-103,Mexico,,4959847,2.40%
51,10,7,Germany,52,5,Netherlands,,190853986,6.39%
51,10,7,Germany,69,15,Norway,,1969257,1.03%
51,10,7,Germany,52,19,Poland,,51931610,1.93%
51,10,7,Germany,46,25,Romania,,8093923,2.54%
51,10,7,Germany,62,97,Russian Federation,,10243818,1.91%
51,10,7,Germany,24,45,Saudi Arabia,,1219153,0.68%
51,10,7,Germany,49,19,Slovakia,,24943563,10.17%
51,10,7,Germany,46,15,Slovenia,,11788441,6.70%
51,10,7,Germany,-29,25,South Africa,,1746622,0.94%
51,10,7,Germany,40,-4,Spain,,23833650,2.47%
51,10,7,Germany,63,17,Sweden,,9638535,1.55%
51,10,7,Germany,47,8,Switzerland,,47011911,1.95%
51,10,7,Germany,39,35,Turkey,,16660457,3.63%
51,10,7,Germany,49,31,Ukraine,,4923231,2.90%
51,10,7,Germany,54,-3,United Kingdom,,29350841,1.32%
51,10,7,Germany,46,-112,USA,,2350664,0.20%
43,12,8,Italy,-26,134,Australia,,208999,0.26%
43,12,8,Italy,48,14,Austria,,24290840,7.30%
43,12,8,Italy,51,5,Belgium,,1190418,0.54%
43,12,8,Italy,43,25,Bulgaria,,2962,0.01%
43,12,8,Italy,37,104,China,,154480862,54.29%
43,12,8,Italy,45,16,Croatia,,1415864,1.41%
43,12,8,Italy,50,15,Czechia,,61257,0.05%
43,12,8,Italy,26,30,Egypt,,17793,0.02%
43,12,8,Italy,46,3,France,,11196857,0.64%
43,12,8,Italy,51,10,Germany,,50517636,3.58%
43,12,8,Italy,39,23,Greece,,438138,0.25%
43,12,8,Italy,47,19,Hungary,,5251557,4.75%
43,12,8,Italy,23,80,India,,2756908,1.89%
43,12,8,Italy,31,35,Israel,,18701,0.02%
43,12,8,Italy,24,-103,Mexico,,435568,0.62%
43,12,8,Italy,30,-8,Morocco,,48761,0.07%
43,12,8,Italy,52,5,Netherlands,,1080920,0.43%
43,12,8,Italy,52,19,Poland,,4482612,1.50%
43,12,8,Italy,40,-9,Portugal,,30343,0.03%
43,12,8,Italy,46,25,Romania,,2324399,1.43%
43,12,8,Italy,62,97,Russian Federation,,119378,0.08%
43,12,8,Italy,24,45,Saudi Arabia,,2052654,3.57%
43,12,8,Italy,46,15,Slovenia,,19911131,12.35%
43,12,8,Italy,40,-4,Spain,,12310521,1.86%
43,12,8,Italy,63,17,Sweden,,7321,0.01%
43,12,8,Italy,47,8,Switzerland,,9124835,1.81%
43,12,8,Italy,34,10,Tunisia,,1653,0.00%
43,12,8,Italy,39,35,Turkey,,5617823,2.92%
43,12,8,Italy,24,54,United Arab Emirates,,396124,0.45%
43,12,8,Italy,54,-3,United Kingdom,,5988565,0.91%
43,12,8,Italy,46,-112,USA,,24930,0.01%
63,17,9,Sweden,28,3,Algeria,,157284,0.11%
63,17,9,Sweden,48,14,Austria,,100781999,40.41%
63,17,9,Sweden,51,5,Belgium,,7467300,2.86%
63,17,9,Sweden,37,104,China,,136736621,23.18%
63,17,9,Sweden,50,15,Czechia,,3325180,3.88%
63,17,9,Sweden,56,10,Denmark,,19325216,2.34%
63,17,9,Sweden,26,30,Egypt,,1787891,0.74%
63,17,9,Sweden,64,26,Finland,,28838960,9.38%
63,17,9,Sweden,46,3,France,,124680141,22.70%
63,17,9,Sweden,51,10,Germany,,327405349,14.30%
63,17,9,Sweden,47,19,Hungary,,27868244,26.09%
63,17,9,Sweden,23,80,India,,111136188,47.81%
63,17,9,Sweden,-2,117,Indonesia,,63253369,52.86%
63,17,9,Sweden,43,12,Italy,,207350991,28.32%
63,17,9,Sweden,38,138,Japan,,20037379,7.21%
63,17,9,Sweden,24,-103,Mexico,,1168695,1.30%
63,17,9,Sweden,30,-8,Morocco,,323806,0.22%
63,17,9,Sweden,52,5,Netherlands,,231071969,23.69%
63,17,9,Sweden,69,15,Norway,,57499703,4.47%
63,17,9,Sweden,30,69,Pakistan,,10702085,11.57%
63,17,9,Sweden,52,19,Poland,,98791101,19.79%
63,17,9,Sweden,62,97,Russian Federation,,21537948,27.36%
63,17,9,Sweden,24,45,Saudi Arabia,,1114201,0.79%
63,17,9,Sweden,40,-4,Spain,,101714710,27.00%
63,17,9,Sweden,47,8,Switzerland,,12777881,16.14%
63,17,9,Sweden,39,35,Turkey,,46342139,20.82%
63,17,9,Sweden,54,-3,United Kingdom,,161263664,10.81%
63,17,9,Sweden,46,-112,USA,,31772274,11.82%
